Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Holstebrokredsen,,Betina Kastbjerg,Danmarksdemokraterne,0
Holstebrokredsen,,Vivi Altenburg,Danmarksdemokraterne,0
Holstebrokredsen,,Morten Vehl,Danmarksdemokraterne,0
Holstebrokredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Frederik Madsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Maria Temponeras,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Charlotte Lindberg,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Christian I. Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Per Møller Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Peter Sig Kristensen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Sabrina Christiansen Broch,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Lars Dohn,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Partiliste,Alternativet,0
Holstebrokredsen,,Stine Isaksen,Alternativet,0
Holstebrokredsen,,H.C. Molbech,Alternativet,0
Holstebrokredsen,,Didde Krabbe Johannesen,Alternativet,0
Holstebrokredsen,,Dorte Fløjgaard,Alternativet,0
Holstebrokredsen,,Kirsten Hindbo,Alternativet,0
Holstebrokredsen,,Jørn Grønkjær,Alternativet,0
Holstebrokredsen,,Rasmus Foged,Alternativet,0
Holstebrokredsen,,Lars Holstein,Alternativet,0
Holstebrokredsen,,Karen Predbjørn Klarbæk,(Uden for parti),0
Holstebrokredsen,,Partiliste,Socialdemokratiet,0
Holstebrokredsen,,Annette Lind,Socialdemokratiet,0
Holstebrokredsen,,Anders Andreasen,Socialdemokratiet,0
Holstebrokredsen,,Lars Fibæk,Socialdemokratiet,0
Holstebrokredsen,,Karin Gaardsted,Socialdemokratiet,0
Holstebrokredsen,,Mogens Jensen,Socialdemokratiet,0
Holstebrokredsen,,Thomas Jensen,Socialdemokratiet,0
Holstebrokredsen,,Tina Mortensen,Socialdemokratiet,0
Holstebrokredsen,,Mette Nielsen,Socialdemokratiet,0
Holstebrokredsen,,Anne Paulin,Socialdemokratiet,0
Holstebrokredsen,,Peter Kempf Pedersen,Socialdemokratiet,0
Holstebrokredsen,,Per Kamp Stefansen,Socialdemokratiet,0
Holstebrokredsen,,Partiliste,Radikale Venstre,0
Holstebrokredsen,,Josefine Schlosser,Radikale Venstre,0
Holstebrokredsen,,Kathrine Olldag,Radikale Venstre,0
Holstebrokredsen,,Johan Brødsgaard,Radikale Venstre,0
Holstebrokredsen,,Michael Flarup,Radikale Venstre,0
Holstebrokredsen,,Signe Driefer,Radikale Venstre,0
Holstebrokredsen,,Keld Marstrand Wang,Radikale Venstre,0
Holstebrokredsen,,Partiliste,Det Konservative Folkeparti,0
Holstebrokredsen,,Søren Pape Poulsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Lise Bertelsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Mogens Birkelund,Det Konservative Folkeparti,0
Holstebrokredsen,,Ole Gade,Det Konservative Folkeparti,0
Holstebrokredsen,,Bitten Kvist Jakobsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Siff Tang Lassen,Det Konservative Folkeparti,0
Holstebrokredsen,,Michael Norup,Det Konservative Folkeparti,0
Holstebrokredsen,,Lennart Qvist,Det Konservative Folkeparti,0
Holstebrokredsen,,Dina Raabjerg,Det Konservative Folkeparti,0
Holstebrokredsen,,Trine Trærup Roungkvist,Det Konservative Folkeparti,0
Holstebrokredsen,,Gitte Willumsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Partiliste,Nye Borgerlige,0
Holstebrokredsen,,Mogens Aaby,Nye Borgerlige,0
Holstebrokredsen,,Allan Berg,Nye Borgerlige,0
Holstebrokredsen,,Knud Nielsen,Nye Borgerlige,0
Holstebrokredsen,,Hans Rytter,Nye Borgerlige,0
Holstebrokredsen,,Tenna Røberg,Nye Borgerlige,0
Holstebrokredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Signe Munk,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Karsten Filsø,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Bente Refslund,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Meritta Bjerregaard,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Anders Bøge,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Niels Kristian Larsen,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Partiliste,Liberal Alliance,0
Holstebrokredsen,,Carsten Bach,Liberal Alliance,0
Holstebrokredsen,,Lene Foged,Liberal Alliance,0
Holstebrokredsen,,Ragnar Dixen,Liberal Alliance,0
Holstebrokredsen,,Frederik Jacobsen,Liberal Alliance,0
Holstebrokredsen,,Svend Stein Olsen,Liberal Alliance,0
Holstebrokredsen,,Kennet R. Kolby,Liberal Alliance,0
Holstebrokredsen,,Steffen Troldtoft,Liberal Alliance,0
Holstebrokredsen,,Mikkel Rentzø,Liberal Alliance,0
Holstebrokredsen,,Thorbjørn Jacobsen,Liberal Alliance,0
Holstebrokredsen,,Helle Jensen,Liberal Alliance,0
Holstebrokredsen,,Partiliste,KD - Kristendemokraterne,0
Holstebrokredsen,,Marianne Karlsmose,KD - Kristendemokraterne,0
Holstebrokredsen,,Steffen Markussen,KD - Kristendemokraterne,0
Holstebrokredsen,,Jens Kr. Mølby Nielsen,KD - Kristendemokraterne,0
Holstebrokredsen,,Jonas Røjkjær Laustsen,KD - Kristendemokraterne,0
Holstebrokredsen,,Per Asp,KD - Kristendemokraterne,0
Holstebrokredsen,,Marcus Sommerbirk,KD - Kristendemokraterne,0
Holstebrokredsen,,Inge Jensen,KD - Kristendemokraterne,0
Holstebrokredsen,,Børge Rostgaard Winkel,KD - Kristendemokraterne,0
Holstebrokredsen,,Karen-Margrethe Lysholm,KD - Kristendemokraterne,0
Holstebrokredsen,,Partiliste,Moderaterne,0
Holstebrokredsen,,Jeppe Søe,Moderaterne,0
Holstebrokredsen,,Nikolaj Gam-Pedersen,Moderaterne,0
Holstebrokredsen,,Freya Luna Andersen,Moderaterne,0
Holstebrokredsen,,Partiliste,Dansk Folkeparti,0
Holstebrokredsen,,Majbritt Birkholm,Dansk Folkeparti,0
Holstebrokredsen,,Mikael Jensen,Dansk Folkeparti,0
Holstebrokredsen,,Erling Præstekjær,Dansk Folkeparti,0
Holstebrokredsen,,Jakob Kjærsgaard,Dansk Folkeparti,0
Holstebrokredsen,,Kuno F. Danielsen,Dansk Folkeparti,0
Holstebrokredsen,,Lone Langballe,Dansk Folkeparti,0
Holstebrokredsen,,Partiliste,Frie Grønne,0
Holstebrokredsen,,Rishi Balachandran,Frie Grønne,0
Holstebrokredsen,,Ida Lund-Larsen,Frie Grønne,0
Holstebrokredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Søren Gade,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Ib Bjerregaard,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Ulrich Fredberg,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Mads Fuglede,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Lone Kastberg,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Jarl Matthiesen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Kenneth Mikkelsen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Jacob Vestergaard,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Partiliste,Danmarksdemokraterne,0
Holstebrokredsen,,Dennis Flydtkjær,Danmarksdemokraterne,0
Holstebrokredsen,,Betina Kastbjerg,Danmarksdemokraterne,0
Holstebrokredsen,,Vivi Altenburg,Danmarksdemokraterne,0
Holstebrokredsen,,Morten Vehl,Danmarksdemokraterne,0
Holstebrokredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Frederik Madsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Maria Temponeras,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Charlotte Lindberg,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Christian I. Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Per Møller Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Peter Sig Kristensen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Sabrina Christiansen Broch,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Lars Dohn,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Partiliste,Alternativet,0
Holstebrokredsen,,Stine Isaksen,Alternativet,0
Holstebrokredsen,,H.C. Molbech,Alternativet,0
Holstebrokredsen,,Didde Krabbe Johannesen,Alternativet,0
Holstebrokredsen,,Dorte Fløjgaard,Alternativet,0
Holstebrokredsen,,Kirsten Hindbo,Alternativet,0
Holstebrokredsen,,Jørn Grønkjær,Alternativet,0
Holstebrokredsen,,Rasmus Foged,Alternativet,0
Holstebrokredsen,,Lars Holstein,Alternativet,0
Holstebrokredsen,,Karen Predbjørn Klarbæk,(Uden for parti),0
Holstebrokredsen,,Partiliste,Socialdemokratiet,0
Holstebrokredsen,,Annette Lind,Socialdemokratiet,0
Holstebrokredsen,,Anders Andreasen,Socialdemokratiet,0
Holstebrokredsen,,Lars Fibæk,Socialdemokratiet,0
Holstebrokredsen,,Karin Gaardsted,Socialdemokratiet,0
Holstebrokredsen,,Mogens Jensen,Socialdemokratiet,0
Holstebrokredsen,,Thomas Jensen,Socialdemokratiet,0
Holstebrokredsen,,Tina Mortensen,Socialdemokratiet,0
Holstebrokredsen,,Mette Nielsen,Socialdemokratiet,0
Holstebrokredsen,,Anne Paulin,Socialdemokratiet,0
Holstebrokredsen,,Peter Kempf Pedersen,Socialdemokratiet,0
Holstebrokredsen,,Per Kamp Stefansen,Socialdemokratiet,0
Holstebrokredsen,,Partiliste,Radikale Venstre,0
Holstebrokredsen,,Josefine Schlosser,Radikale Venstre,0
Holstebrokredsen,,Kathrine Olldag,Radikale Venstre,0
Holstebrokredsen,,Johan Brødsgaard,Radikale Venstre,0
Holstebrokredsen,,Michael Flarup,Radikale Venstre,0
Holstebrokredsen,,Signe Driefer,Radikale Venstre,0
Holstebrokredsen,,Keld Marstrand Wang,Radikale Venstre,0
Holstebrokredsen,,Partiliste,Det Konservative Folkeparti,0
Holstebrokredsen,,Søren Pape Poulsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Lise Bertelsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Mogens Birkelund,Det Konservative Folkeparti,0
Holstebrokredsen,,Ole Gade,Det Konservative Folkeparti,0
Holstebrokredsen,,Bitten Kvist Jakobsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Siff Tang Lassen,Det Konservative Folkeparti,0
Holstebrokredsen,,Michael Norup,Det Konservative Folkeparti,0
Holstebrokredsen,,Lennart Qvist,Det Konservative Folkeparti,0
Holstebrokredsen,,Dina Raabjerg,Det Konservative Folkeparti,0
Holstebrokredsen,,Trine Trærup Roungkvist,Det Konservative Folkeparti,0
Holstebrokredsen,,Gitte Willumsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Partiliste,Nye Borgerlige,0
Holstebrokredsen,,Mogens Aaby,Nye Borgerlige,0
Holstebrokredsen,,Allan Berg,Nye Borgerlige,0
Holstebrokredsen,,Knud Nielsen,Nye Borgerlige,0
Holstebrokredsen,,Hans Rytter,Nye Borgerlige,0
Holstebrokredsen,,Tenna Røberg,Nye Borgerlige,0
Holstebrokredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Signe Munk,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Karsten Filsø,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Bente Refslund,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Meritta Bjerregaard,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Anders Bøge,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Niels Kristian Larsen,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Partiliste,Liberal Alliance,0
Holstebrokredsen,,Carsten Bach,Liberal Alliance,0
Holstebrokredsen,,Lene Foged,Liberal Alliance,0
Holstebrokredsen,,Ragnar Dixen,Liberal Alliance,0
Holstebrokredsen,,Frederik Jacobsen,Liberal Alliance,0
Holstebrokredsen,,Svend Stein Olsen,Liberal Alliance,0
Holstebrokredsen,,Kennet R. Kolby,Liberal Alliance,0
Holstebrokredsen,,Steffen Troldtoft,Liberal Alliance,0
Holstebrokredsen,,Mikkel Rentzø,Liberal Alliance,0
Holstebrokredsen,,Thorbjørn Jacobsen,Liberal Alliance,0
Holstebrokredsen,,Helle Jensen,Liberal Alliance,0
Holstebrokredsen,,Partiliste,KD - Kristendemokraterne,0
Holstebrokredsen,,Marianne Karlsmose,KD - Kristendemokraterne,0
Holstebrokredsen,,Steffen Markussen,KD - Kristendemokraterne,0
Holstebrokredsen,,Jens Kr. Mølby Nielsen,KD - Kristendemokraterne,0
Holstebrokredsen,,Jonas Røjkjær Laustsen,KD - Kristendemokraterne,0
Holstebrokredsen,,Per Asp,KD - Kristendemokraterne,0
Holstebrokredsen,,Marcus Sommerbirk,KD - Kristendemokraterne,0
Holstebrokredsen,,Inge Jensen,KD - Kristendemokraterne,0
Holstebrokredsen,,Børge Rostgaard Winkel,KD - Kristendemokraterne,0
Holstebrokredsen,,Karen-Margrethe Lysholm,KD - Kristendemokraterne,0
Holstebrokredsen,,Partiliste,Moderaterne,0
Holstebrokredsen,,Jeppe Søe,Moderaterne,0
Holstebrokredsen,,Nikolaj Gam-Pedersen,Moderaterne,0
Holstebrokredsen,,Freya Luna Andersen,Moderaterne,0
Holstebrokredsen,,Partiliste,Dansk Folkeparti,0
Holstebrokredsen,,Majbritt Birkholm,Dansk Folkeparti,0
Holstebrokredsen,,Mikael Jensen,Dansk Folkeparti,0
Holstebrokredsen,,Erling Præstekjær,Dansk Folkeparti,0
Holstebrokredsen,,Jakob Kjærsgaard,Dansk Folkeparti,0
Holstebrokredsen,,Kuno F. Danielsen,Dansk Folkeparti,0
Holstebrokredsen,,Lone Langballe,Dansk Folkeparti,0
Holstebrokredsen,,Partiliste,Frie Grønne,0
Holstebrokredsen,,Rishi Balachandran,Frie Grønne,0
Holstebrokredsen,,Ida Lund-Larsen,Frie Grønne,0
Holstebrokredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Søren Gade,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Ib Bjerregaard,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Ulrich Fredberg,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Mads Fuglede,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Lone Kastberg,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Jarl Matthiesen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Kenneth Mikkelsen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Jacob Vestergaard,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Partiliste,Danmarksdemokraterne,0
Holstebrokredsen,,Dennis Flydtkjær,Danmarksdemokraterne,0
Holstebrokredsen,,Betina Kastbjerg,Danmarksdemokraterne,0
Holstebrokredsen,,Vivi Altenburg,Danmarksdemokraterne,0
Holstebrokredsen,,Morten Vehl,Danmarksdemokraterne,0
Holstebrokredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Frederik Madsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Maria Temponeras,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Charlotte Lindberg,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Christian I. Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Per Møller Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Peter Sig Kristensen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Sabrina Christiansen Broch,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Lars Dohn,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Partiliste,Alternativet,0
Holstebrokredsen,,Stine Isaksen,Alternativet,0
Holstebrokredsen,,H.C. Molbech,Alternativet,0
Holstebrokredsen,,Didde Krabbe Johannesen,Alternativet,0
Holstebrokredsen,,Dorte Fløjgaard,Alternativet,0
Holstebrokredsen,,Kirsten Hindbo,Alternativet,0
Holstebrokredsen,,Jørn Grønkjær,Alternativet,0
Holstebrokredsen,,Rasmus Foged,Alternativet,0
Holstebrokredsen,,Lars Holstein,Alternativet,0
Holstebrokredsen,,Karen Predbjørn Klarbæk,(Uden for parti),0
Holstebrokredsen,,Partiliste,Socialdemokratiet,0
Holstebrokredsen,,Annette Lind,Socialdemokratiet,0
Holstebrokredsen,,Anders Andreasen,Socialdemokratiet,0
Holstebrokredsen,,Lars Fibæk,Socialdemokratiet,0
Holstebrokredsen,,Karin Gaardsted,Socialdemokratiet,0
Holstebrokredsen,,Mogens Jensen,Socialdemokratiet,0
Holstebrokredsen,,Thomas Jensen,Socialdemokratiet,0
Holstebrokredsen,,Tina Mortensen,Socialdemokratiet,0
Holstebrokredsen,,Mette Nielsen,Socialdemokratiet,0
Holstebrokredsen,,Anne Paulin,Socialdemokratiet,0
Holstebrokredsen,,Peter Kempf Pedersen,Socialdemokratiet,0
Holstebrokredsen,,Per Kamp Stefansen,Socialdemokratiet,0
Holstebrokredsen,,Partiliste,Radikale Venstre,0
Holstebrokredsen,,Josefine Schlosser,Radikale Venstre,0
Holstebrokredsen,,Kathrine Olldag,Radikale Venstre,0
Holstebrokredsen,,Johan Brødsgaard,Radikale Venstre,0
Holstebrokredsen,,Michael Flarup,Radikale Venstre,0
Holstebrokredsen,,Signe Driefer,Radikale Venstre,0
Holstebrokredsen,,Keld Marstrand Wang,Radikale Venstre,0
Holstebrokredsen,,Partiliste,Det Konservative Folkeparti,0
Holstebrokredsen,,Søren Pape Poulsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Lise Bertelsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Mogens Birkelund,Det Konservative Folkeparti,0
Holstebrokredsen,,Ole Gade,Det Konservative Folkeparti,0
Holstebrokredsen,,Bitten Kvist Jakobsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Siff Tang Lassen,Det Konservative Folkeparti,0
Holstebrokredsen,,Michael Norup,Det Konservative Folkeparti,0
Holstebrokredsen,,Lennart Qvist,Det Konservative Folkeparti,0
Holstebrokredsen,,Dina Raabjerg,Det Konservative Folkeparti,0
Holstebrokredsen,,Trine Trærup Roungkvist,Det Konservative Folkeparti,0
Holstebrokredsen,,Gitte Willumsen,Det Konservative Folkeparti,0
Holstebrokredsen,,Partiliste,Nye Borgerlige,0
Holstebrokredsen,,Mogens Aaby,Nye Borgerlige,0
Holstebrokredsen,,Allan Berg,Nye Borgerlige,0
Holstebrokredsen,,Knud Nielsen,Nye Borgerlige,0
Holstebrokredsen,,Hans Rytter,Nye Borgerlige,0
Holstebrokredsen,,Tenna Røberg,Nye Borgerlige,0
Holstebrokredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Signe Munk,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Karsten Filsø,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Bente Refslund,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Meritta Bjerregaard,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Anders Bøge,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Niels Kristian Larsen,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,0
Holstebrokredsen,,Partiliste,Liberal Alliance,0
Holstebrokredsen,,Carsten Bach,Liberal Alliance,0
Holstebrokredsen,,Lene Foged,Liberal Alliance,0
Holstebrokredsen,,Ragnar Dixen,Liberal Alliance,0
Holstebrokredsen,,Frederik Jacobsen,Liberal Alliance,0
Holstebrokredsen,,Svend Stein Olsen,Liberal Alliance,0
Holstebrokredsen,,Kennet R. Kolby,Liberal Alliance,0
Holstebrokredsen,,Steffen Troldtoft,Liberal Alliance,0
Holstebrokredsen,,Mikkel Rentzø,Liberal Alliance,0
Holstebrokredsen,,Thorbjørn Jacobsen,Liberal Alliance,0
Holstebrokredsen,,Helle Jensen,Liberal Alliance,0
Holstebrokredsen,,Partiliste,KD - Kristendemokraterne,0
Holstebrokredsen,,Marianne Karlsmose,KD - Kristendemokraterne,0
Holstebrokredsen,,Steffen Markussen,KD - Kristendemokraterne,0
Holstebrokredsen,,Jens Kr. Mølby Nielsen,KD - Kristendemokraterne,0
Holstebrokredsen,,Jonas Røjkjær Laustsen,KD - Kristendemokraterne,0
Holstebrokredsen,,Per Asp,KD - Kristendemokraterne,0
Holstebrokredsen,,Marcus Sommerbirk,KD - Kristendemokraterne,0
Holstebrokredsen,,Inge Jensen,KD - Kristendemokraterne,0
Holstebrokredsen,,Børge Rostgaard Winkel,KD - Kristendemokraterne,0
Holstebrokredsen,,Karen-Margrethe Lysholm,KD - Kristendemokraterne,0
Holstebrokredsen,,Partiliste,Moderaterne,0
Holstebrokredsen,,Jeppe Søe,Moderaterne,0
Holstebrokredsen,,Nikolaj Gam-Pedersen,Moderaterne,0
Holstebrokredsen,,Freya Luna Andersen,Moderaterne,0
Holstebrokredsen,,Partiliste,Dansk Folkeparti,0
Holstebrokredsen,,Majbritt Birkholm,Dansk Folkeparti,0
Holstebrokredsen,,Mikael Jensen,Dansk Folkeparti,0
Holstebrokredsen,,Erling Præstekjær,Dansk Folkeparti,0
Holstebrokredsen,,Jakob Kjærsgaard,Dansk Folkeparti,0
Holstebrokredsen,,Kuno F. Danielsen,Dansk Folkeparti,0
Holstebrokredsen,,Lone Langballe,Dansk Folkeparti,0
Holstebrokredsen,,Partiliste,Frie Grønne,0
Holstebrokredsen,,Rishi Balachandran,Frie Grønne,0
Holstebrokredsen,,Ida Lund-Larsen,Frie Grønne,0
Holstebrokredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Søren Gade,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Ib Bjerregaard,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Ulrich Fredberg,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Mads Fuglede,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Lone Kastberg,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Jarl Matthiesen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Kenneth Mikkelsen,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Jacob Vestergaard,"Venstre, Danmarks Liberale Parti",0
Holstebrokredsen,,Partiliste,Danmarksdemokraterne,0
Holstebrokredsen,,Dennis Flydtkjær,Danmarksdemokraterne,0
Holstebrokredsen,,Betina Kastbjerg,Danmarksdemokraterne,0
Holstebrokredsen,,Vivi Altenburg,Danmarksdemokraterne,0
Holstebrokredsen,,Morten Vehl,Danmarksdemokraterne,0
Holstebrokredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Frederik Madsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Maria Temponeras,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Charlotte Lindberg,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Christian I. Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Per Møller Jacobsen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Peter Sig Kristensen,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Sabrina Christiansen Broch,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Lars Dohn,Enhedslisten - De Rød-Grønne,0
Holstebrokredsen,,Partiliste,Alternativet,0
Holstebrokredsen,,Stine Isaksen,Alternativet,0
Holstebrokredsen,,H.C. Molbech,Alternativet,0
Holstebrokredsen,,Didde Krabbe Johannesen,Alternativet,0
Holstebrokredsen,,Dorte Fløjgaard,Alternativet,0
Holstebrokredsen,,Kirsten Hindbo,Alternativet,0
Holstebrokredsen,,Jørn Grønkjær,Alternativet,0
Holstebrokredsen,,Rasmus Foged,Alternativet,0
Holstebrokredsen,,Lars Holstein,Alternativet,0
Holstebrokredsen,,Karen Predbjørn Klarbæk,(Uden for parti),0
